"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6974","Registration step,and verify successfully login msg","chrome","2026-02-04","passed","2026-02-04","Store credetianls after registration","ClientAppPO.spec.js","",""
"","0","Second test for log in","chrome","2026-02-04","skipped","2026-02-04","User creation + log in","UIBasicsTest.spec.js","",""
"","8015","Upload download excel validation","chrome","2026-02-04","passed","2026-02-04","","excelDemo.spec.js","",""
"","7711","Second test for log in","chrome","2026-02-04","passed","2026-02-04","User creation + log in","ClientApps.spec.js","",""
"","4489","visual comperasion","chrome","2026-02-04","passed","2026-02-04","","MoreValidation.spec.js","",""
"","13","Store credetianls after registration","chrome","2026-02-04","failed","2026-02-04","","Test_End_Another_way.spec.js","",""
"","15309","Check the displayed itesm on the page","chrome","2026-02-04","failed","2026-02-04","Store credetianls after registration","Test-End-to-End.spec.js","",""
"","0","Check the displayed itesm on the page","chrome","2026-02-04","skipped","2026-02-04","User creation + log in","UIBasicsTest.spec.js","",""
"","1","Check the displayed items with derived data set from JSON as fixture","chrome","2026-02-04","skipped","2026-02-04","Store credetianls after registration","ClientAppPO.spec.js","",""
"","11519","Registration step,and verify successfully login msg","chrome","2026-02-04","failed","2026-02-04","Store credetianls after registration","Test-End-to-End.spec.js","",""
"","10970","Check the displayed itesm on the page with user , IT SHOULD SKIP due to fail previous TEST","chrome","2026-02-04","passed","2026-02-04","Store credetianls after registration","ClientAppPO.spec.js","",""
"","6888","Check the displayed itesm on the page","chrome","2026-02-04","passed","2026-02-04","","WebApiPart2.spec.js","",""
"","613","Check the displayed itesm on the page","chrome","2026-02-04","failed","2026-02-04","","webApiPart.spec.js","",""
"","6798","Screenshot and VISIUAL COMPERASION","chrome","2026-02-04","passed","2026-02-04","","MoreValidation.spec.js","",""
"","7028","Playwirght special locators","chrome","2026-02-04","passed","2026-02-04","","getTestMethod.spec.js","",""
"","5802","Browser Context playwright test","chrome","2026-02-04","passed","2026-02-04","User creation + log in","UIBasicsTest.spec.js","",""
"","19538","Upload download excel validation2","chrome","2026-02-04","passed","2026-02-04","","excelDemo.spec.js","",""
"","602","Check the displayed itesm on the page 22","chrome","2026-02-04","passed","2026-02-04","","WebApiPart2.spec.js","",""
"","7465","Calenrdar validation test","chrome","2026-02-04","passed","2026-02-04","","Calendar.spec.js","",""
"","11711","First alone test , log in","chrome","2026-02-04","failed","2026-02-04","User creation + log in","UIBasicsTest.spec.js","",""
"","4560","D2D Test - verify new tab is automatically logged in","chrome","2026-02-04","failed","2026-02-04","","QuickTestMyAPP.spec.js","",""
"","9181","Popup validations","chrome","2026-02-04","passed","2026-02-04","","MoreValidation.spec.js","",""
"","5414","Registration step,and verify successfully login msg","chrome","2026-02-04","failed","2026-02-04","","webApiPart.spec.js","",""
"","4502","Child window handling","chrome","2026-02-04","passed","2026-02-04","User creation + log in","UIBasicsTest.spec.js","",""
"","3983","Test real data orders page without fake request data","chrome","2026-02-04","passed","2026-02-04","","NetworkTest.spec.js","",""
"","6023","test","chrome","2026-02-04","failed","2026-02-04","","UIBasicsTest.spec.js","",""
"","9134","Security test request intercept","chrome","2026-02-04","passed","2026-02-04","","NetworkTest2.spec.js","",""
"","6192","Test empyt state message on orders page with fake request data","chrome","2026-02-04","passed","2026-02-04","","NetworkTest.spec.js","",""
